review_id,Asin,Brand,Nation,Rating,Content
142,B001ANVDMA,posca,US,5,"I was looking for a cleaner alternative and this was the right buy! Youngest loves to paint, but with regular paint, comes a large mess. These paint markers cut down on the mess tremendously. Will absolutely buy again."
145,B001ANVDMA,posca,US,1,"Feutres posca pas chères, mais de très mauvaise qualité!!! Je ne recommande pas !! Passez votre chemin !! Je vous le conseille vivement, dépense inutile."
146,B001ANVDMA,posca,US,5,Love these colors and ease of use with mixed media art.
148,B001ANVDMA,posca,US,5,"bought for my brother, and he absolutely loved them! will buy again."
149,B001ANVDMA,posca,US,1,"I don't know if I just received a defective product but these markers were NOT what I'm used to with POSCA. It was so watered down and sheer/barely there pigment, even after regular use. Would not recommend buying them here."
150,B001ANVDMA,posca,US,5,"Exactly as described, quickly shipped.  Posca pens are great for art!"
151,B001ANVDMA,posca,US,5,外出自粛中の子どもの為に購入しました。YouTubeでのプラバン作りにもよくポスカが使用されており、以前から欲しがっていました。発色も良く、子どもが楽しくプラバン作成をしています。ケースも紙ですが、ポスカが出し入れしやすくなっています。<br>耐水性はまだわかりませんので、とりあえず⭐︎4つにしました。
152,B001ANVDMA,posca,US,5,Gift for daughter
153,B001ANVDMA,posca,US,5,"Japanese import, great product, great value."
154,B001ANVDMA,posca,US,5,These paint pens are really easy to use and don't get clogged like other paint pens do. Wish they came in more colors.  They are my favorite
155,B001ANVDMA,posca,US,5,I have not had a chance to use all of the colors yet but so far I really like the ones I have used.
156,B001ANVDMA,posca,US,4,"Très bon produit.<br>La marque POSCA n'est plus à présenter... et pour le prix affiché, il serait bête de s'en priver!"
157,B001ANVDMA,posca,US,5,Product was good as expected
158,B001ANVDMA,posca,US,5,Easy to use
159,B001ANVDMA,posca,US,5,It was for my niece Bday she loves them
160,B001ANVDMA,posca,US,5,My daughter loves this product she designs shoes. High quality doesn't bleed or run.
161,B001ANVDMA,posca,US,5,娘がプラバンアクセサリー作りに、ポスカが欲しいというので、こちらでお安く買えてよかったです。
162,B001ANVDMA,posca,US,5,Pretty neat product.
163,B001ANVDMA,posca,US,5,the lines are very solid and no streaks. easy to color with
164,B001ANVDMA,posca,US,1,I bought these as WATERPROOF and they totally water soluble!  I ruined an expensive needlepoint canvas by using these to change a few details on the canvas as I found them to run terribly after they were dry.  Run away!!!!!!
165,B001ANVDMA,posca,US,5,Excelente producto
167,B001ANVDMA,posca,US,5,"got fine and Med, these are a godsend we make signs and decor from recycled pallets, these are less $ than buying retail and work as well as others."
168,B001ANVDMA,posca,US,5,Pens work amazing and I haven't had any issues with them. All of the colors are so rich and vibrant.
169,B001ANVDMA,posca,US,1,I have applied pressure for the color to get out but the markers are DRY!
170,B001ANVDMA,posca,US,5,Item was just as described.
172,B001ANVDMA,posca,US,5,ポスカずっと欲しくて迷ってたんですけど蛍光のポスカが合わせて買うとやすくなるので買ってしまいました凄く使うのが楽しみですお店はこんな沢山入ってないし届いた時凄くテンションあがりました
173,B001ANVDMA,posca,US,5,"I love these markers, the nibs are great and the coverage is amazing!  Beautiful colors and top quality!"
174,B001ANVDMA,posca,US,3,They are knock-offs but still work pretty good if you are on a budget
175,B001ANVDMA,posca,US,3,There is not a word of English on box. Therefore no instructions. Against Canadian laws
176,B001ANVDMA,posca,US,5,"There's a trick to getting these pens not to leak globs of paint everywhere when you first get them. You have to hold the pen with the point upwards, towards the ceiling, push the nib in with your finger, you'll hear a small amount of air escape, like a hissing sound. Then turn back over and press repeatedly onto paper to get the paint going. If you don't do this, globs will come out and go everywhere! Happened to me and lots of paint was wasted. But they work great once you get them going correctly."
177,B001ANVDMA,posca,US,5,These paint pens are excellent quality.
178,B001ANVDMA,posca,US,5,Quality is good. But pricey
179,B001ANVDMA,posca,US,5,Very easy to use just push down once with the tip and it's the juiciest marker ever. Very vibrant. The only downside is if ur paper is not thick enough it will bleed through. Overall great marker
180,B001ANVDMA,posca,US,5,"LOVE LOVE LOVE these pens!  Don't use them in the hot sun however, the ink gets too hot and bleeds out too fast.  Other than that, they are great.  Also, be careful putting the top on the bottom of the pen while in use... one of mine came loose and ink was leaking out."
181,B001ANVDMA,posca,US,5,Great quality and easy to use
182,B001ANVDMA,posca,US,5,My daughter loves these  pens
183,B001ANVDMA,posca,US,5,"Bellissimi.<br>Arrivati 2 giorni prima del previsto, imballo impeccabile.<br>I pennarelli sono davvero affidabili, il tratto da 3 mm è quello che coniuga precisione con la qualità giusta.<br>Prodotto giapponese con ideogrammi sulla confezione.<br>Amazon precisa come sempre"
184,B001ANVDMA,posca,US,5,プラバン制作用に購入しました。<br>中字と悩みましたが、こちらで正解でした。発色もいいし、大満足です。
185,B001ANVDMA,posca,US,4,"These are great markers, but you have to get used to the way they glide across paper since the tip retracts somewhat. The tip is more of a rounded shape also, so that I'm not used to either. The colors are bright and the paint inside plenty."
187,B001ANVDMA,posca,US,1,"I received these as a Christmas gift and just opened them to use them, and all are dried out! Not a single one of the 15 worked!  No amount of shaking resulted in any ink flowing to the tip. So disappointed!  Would not recommend!!"
189,B001ANVDMA,posca,US,4,"Les posca ont mis un peu de temps à arriver, mais pas de problème,  j'ai été prévenue du délai par mail .<br>J'ai beaucoup apprécié de recevoir un mail à chaque étape de la commande  (préparation, expédition ).<br>Le produit est arrivé très bien emballé, sans casse et intact .<br>Je m'en sers énormément depuis,et je n'ai absolument rien à dire, ils fonctionnent parfaitement. :)<br>Le rapport qualité /prix est top, je recommande 1000 fois ! :)"
191,B001ANVDMA,posca,US,5,These pens are great
192,B001ANVDMA,posca,US,4,"Paint flows well, easily yet in a controlled manner. I'll definitely buy again!"
193,B001ANVDMA,posca,US,5,This was a Christmas gift for our 12 year-old niece who loves to draw.  She was absolutely ecstatic when she opened it!
195,B001ANVDMA,posca,US,4,Great pens
196,B001ANVDMA,posca,US,5,My grandson loves it
198,B001ANVDMA,posca,US,5,These are great!
200,B001ANVDMA,posca,US,5,Tres bon rapport qualite prix ... les pisca sont super cher en magasin .. profitez en .. je ne m ena separe pkus..
201,B001ANVDMA,posca,US,5,Buena calidad y tamaño
202,B001ANVDMA,posca,US,5,友達の結婚パーティーのチェキ用に購入★<br>カラフルなアルバムになりました＊
208,B001ANVDMA,posca,US,5,I wish she loved me as much as this gift
209,B001ANVDMA,posca,US,3,Instrucciones en chino. Punta redonda medianos
212,B001ANVDMA,posca,US,5,Mi hijo está enamorado de estos marcadores
214,B001ANVDMA,posca,US,5,Great value - works great!!
216,B001ANVDMA,posca,US,1,"Was a birthday gift 4 a little boy.when they arrived, they were dried up ....unusable."
217,B001ANVDMA,posca,US,5,Make my painting so much easier Love this brand of paint pens
220,B001ANVDMA,posca,US,5,I couldn't paint this fine and cleanly with a brush. Love these pens.
221,B001ANVDMA,posca,US,5,perfect posca's :)
222,B001ANVDMA,posca,US,3,Not bad paint pens. Just remember to hold the pen upright and let the little puff of air off before to you prime the pen for the first time. My biggest disappointment is that they are by no means FINE POINT. I tried to read the box to make sure I got fine point as ordered but there isnt a single word on the box in english.
223,B001ANVDMA,posca,US,5,"Cubren muy bien, es como acrilica en marcador"
224,B001ANVDMA,posca,US,2,Product arrive and one of the 15 markers was missing. I had to buy the dark blue individually to replace it in the pack before gifting at Christmas.
225,B001ANVDMA,posca,US,5,"great price, great product. enjoying using these pens"
226,B001ANVDMA,posca,US,5,My teen loves these paint pens
227,B001ANVDMA,posca,US,5,Love these pens. Easy to use and bold vibrant colors.
231,B001ANVDMA,posca,US,5,"I bought these markers for my granddaughter, who is turning 10 on her birthday. She is quite the artist and requested them. The reviews were outstanding, so I had no qualms about purchasing them. I know she will love them."
232,B001ANVDMA,posca,US,5,I bought these on a recommendation from another artist.  I found that they are truly wonderful.  The paint flows really nicely.  The colors are luscious.  They write/draw very nicely on top of other paint.  I am very happy with them.
233,B001ANVDMA,posca,US,5,"Ottimo prezzo, consegna veloce rispetto alla provenienza dell'articolo e poi.... sono i mitici uniposca indelebili e utilizzabili su tutti i tipi di superficie"
234,B001ANVDMA,posca,US,4,nice set -
235,B001ANVDMA,posca,US,4,"Can't say it enough I LOVE these pens! You can draw on anything. Protect your art with Krylon spray, and do it outside! You can get all the FAQs you can possibly think of on posca.com. And visit YouTube for tutorials."
236,B001ANVDMA,posca,US,1,"These are so junky. The paint leaks out and splats all over whatever project you are working on. Be careful taking the top off, it will probably splatter. I decided to use the gray to outline a project and it ran out after barely any use. Couldn't even complete a simple project with it.The markers are covered in Japanese writing. Ideally, the colors are nice, but the product is terrible and not worth the money. You'll be running out to replace them in less than a week."
238,B001ANVDMA,posca,US,5,They are very opaque and easy to use. Kinda takes long to prep them and get the paint out but other than that I highly recommend
239,B001ANVDMA,posca,US,5,These markers make my paint by numbers so much easier! The colors are very vibrant and opaque! Definitely worth it!
240,B001ANVDMA,posca,US,1,"Do not buy these. Seem like fakes. There was very little paint in any of them. I had a white, store bought posca that lasted me 6 months of use. These lasted 1 or two uses.Terrible."
243,B001ANVDMA,posca,US,5,"100% worth it, so much fun to use, the pigment of the markers are also amazing!"
244,B001ANVDMA,posca,US,3,ich finde den Preis doch etwas übertrieben. Ist wohl Ansichtssache aber ich finde der Alltag wird einfach immer unerschwinglicher. Förderung von Kreativität sollte in besserem Verhältnis stehen.
246,B001ANVDMA,posca,US,5,They work great
247,B001ANVDMA,posca,US,5,"Que dire de c’est feutre de la marque posca, ils sont tout simplement parfait pour dessiner aussi bien sur une feuille que sur du bois, plastique ect...<br>je recommande vraiment cette achat , et livraison rapide !"
248,B001ANVDMA,posca,US,1,Be aware that these don’t work well on any kind of paper! The nib of these seem really sensitive because they rip EASILY. won’t be buying Posca again even though I really liked the color variety.
250,B001ANVDMA,posca,US,5,"dass diese Marker sehr gut sind, sehr gut gemacht worden. ich finde sie sind wirklich schön von den Farben her."
251,B001ANVDMA,posca,US,5,Daughter loved these!
252,B001ANVDMA,posca,US,5,Very opaque colors and they are vibrant! Great for many surfaces and easy to use.
253,B001ANVDMA,posca,US,2,"Die hälfte der Stifte malt nicht gut. Es kommt von alleine keine Farbe nach, man muss ständig auf ein Papier mit dem Stift drücken, dann kommt ein Farbklecks raus, das wars dann."
254,B001ANVDMA,posca,US,5,Love the quality and how smooth and easy they are to use.  And that they don’t dry up like sharpie paint pen if you don’t use them every day!  Will surely purchase again!
255,B001ANVDMA,posca,US,5,I do a lot of werirtd paintings and these pens are what I use for the final details..I want every single color!
